name,brand,url,mainImageurl,SKU,Reviews,Rating,Model,retailer,storesku,omsid
12-ft x 16-ft Green Waterproof Standard Polyethylene 5-mil Tarp,Altocraft,https://www.lowes.com/pd/Altocraft-12-ft-x-16-ft-Multi-Purpose-Polyethylene-Tarp-Camouflage/5001453523,https://mobileimages.lowes.com/productimages/3dab088e-91fb-425d-a708-87e0124a159c/41593426.png,3276604,2,5,WSL21,Lowes,3276604,5001453523
12-ft x 16-ft Silver Waterproof Commercial Polyethylene 15-mil Tarp,Project Source,https://www.lowes.com/pd/Blue-Hawk-12-ft-x-16-ft-Polyethylene-Tarp/1001029718,https://mobileimages.lowes.com/productimages/230e27e6-c3ea-4fa5-ad63-dc4b025029da/69265581.jpeg,1262881,581,4.5,CH12X16-C,Lowes,1262881,1001029718
12-ft x 16-ft Silver Waterproof Standard Polyethylene 10-mil Tarp,Project Source,https://www.lowes.com/pd/Blue-Hawk-16-ft-x-12-ft-Polyethylene-Tarp/50356260,https://mobileimages.lowes.com/productimages/423fcbf0-6517-4eed-828c-1b9751620c72/69265565.jpeg,187738,212,4.6,CH12X16-H,Lowes,187738,50356260
14 Ounce(s) Laundry Stain Remover,CLOROX,https://www.lowes.com/pd/Clorox-CLOROX-AEROSOL-SPRAY-FABRIC-SANITIZER-14OZ/5001423807,https://mobileimages.lowes.com/productimages/b566538f-fc61-49cf-8787-7a6e8c46a88f/40850884.jpg,1025159,463,4.7,4460032422,Lowes,1025159,5001423807
14.0 -oz Aerosol Bed bug killer,EcoLogic,https://www.lowes.com/pd/EcoLogic-14-oz-Bed-Bug-Killer/1000690278,https://mobileimages.lowes.com/productimages/2d488fb2-ab50-46e5-ad4c-a4590349a5a5/10109278.jpg,1170786,210,4.3,HG-75030,Lowes,1170786,1000690278
"15 -Amp 125-volt GFCI Residential Decorator Outlet , White 3 -Pack",Eaton,https://www.lowes.com/pd/Eaton-15-Amp-125-Volt-GFCI-Residential-Decorator-Outlet-White-3-Pack/5014437365,https://mobileimages.lowes.com/productimages/babcffe7-de51-4523-b857-0bd403f3e33e/65228064.jpg,5195442,443,4.3,GF15W-3-LW,Lowes,5195442,5014437365
"15 -Amp 125-volt Tamper Resistant AFCI GFCI Residential/Commercial Decorator Outlet , White",Eaton,https://www.lowes.com/pd/Eaton-White-15-Amp-Decorator-Tamper-Resistant-with-Wall-Plate-Outlet-GFCI-AFCI-Residential-Commercial-Outlet/1002337986,https://mobileimages.lowes.com/productimages/a16d4da9-dbf0-4395-93ee-61a931d6c455/67449746.jpeg,817724,80,4.7,TRAFGF15W-BX-LW,Lowes,817724,1002337986
"15 -Amp 125-volt Tamper Resistant Residential Decorator USB outlet Dual Type C , White",Eaton,https://www.lowes.com/pd/Eaton-15-Amp-Tamper-Resistant-Residential-Decorator-USB-Outlet-Dual-Type-C-White/5014208895,https://mobileimages.lowes.com/productimages/03a7a634-14bb-420a-a966-c3c96eb4d1a0/63631996_1.jpg,5214222,204,4.8,TRUSBC15W-KB-LW,Lowes,5214222 ,5014208895
"15 -Amp 125-volt Tamper Resistant Residential/Commercial Decorator USB outlet Dual Type A , White 3 -Pack",Eaton,https://www.lowes.com/pd/Eaton-15A-TR-Receptacle-3-6-USB-3-CT-WH/1002943642,https://mobileimages.lowes.com/productimages/024dde4f-b896-431e-b6e8-ac8329d5e098/48795491.jpg,1614073,297,4.7,TR7765W-3-LW,Lowes,1614073,1002943642
15-ft 10 -Outlet Indoor Black Power Strip,Utilitech,https://www.lowes.com/pd/Utilitech-15ft-10-Out-Surge-Double-Stack/1002815398,https://mobileimages.lowes.com/productimages/3bba4075-6718-44a9-99ef-3cb75a824ac3/15757236.png,2516030,259,4.8,LTS-10T-1,Lowes,2516030,1002815398
